64,12,5,20,11,4,2,3,8,7,3,12,3,5,3,1,2,1,1,4,3,2,2,4,2
12,33,7,4,4,0,0,2,4,6,1,2,5,2,0,0,1,1,1,2,4,2,0,1,1
5,7,31,5,1,3,0,4,3,1,1,0,2,6,0,0,1,2,3,0,6,1,1,3,2
20,4,5,35,4,4,5,1,4,2,3,8,3,1,2,2,0,1,2,2,3,2,2,3,1
11,4,1,4,23,0,0,0,3,1,1,1,1,2,1,0,1,0,1,1,1,1,1,1,0
4,0,3,4,0,19,2,1,0,1,2,0,1,0,3,3,1,1,0,4,1,1,4,7,0
2,0,0,5,0,2,14,0,0,1,2,0,0,0,3,3,0,0,0,3,0,1,2,1,0
3,2,4,1,0,1,0,16,4,2,0,2,2,0,1,0,0,1,0,1,0,2,0,1,0
8,4,3,4,3,0,0,4,15,1,0,3,1,1,0,1,0,0,0,0,2,0,0,0,0
7,6,1,2,1,1,1,2,1,13,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1
3,1,1,3,1,2,2,0,0,0,13,0,0,0,5,0,0,0,0,3,0,1,1,2,0
12,2,0,8,1,0,0,2,3,1,0,15,1,1,0,0,0,0,1,0,0,0,0,0,1
3,5,2,3,1,1,0,2,1,1,0,1,13,0,0,0,0,1,0,0,1,1,0,1,0
5,2,6,1,2,0,0,0,1,0,0,1,0,12,0,0,1,0,1,0,0,0,0,1,1
3,0,0,2,1,3,3,1,0,0,5,0,0,0,10,1,0,0,0,3,0,1,3,2,0
1,0,0,2,0,3,3,0,1,1,0,0,0,0,1,11,0,0,0,1,0,1,3,1,1
2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2
1,1,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,7,1,0,2,0,0,1,1
1,1,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,10,0,1,0,0,1,1
4,2,0,2,1,4,3,1,0,1,3,0,0,0,3,1,0,0,0,11,0,1,1,2,0
3,4,6,3,1,1,0,0,2,0,0,0,1,0,0,0,1,2,1,0,12,1,0,0,1
2,2,1,2,1,1,1,2,0,0,1,0,1,0,1,1,0,0,0,1,1,15,1,0,1
2,0,1,2,1,4,2,0,0,0,1,0,0,0,3,3,0,0,0,1,0,1,9,1,0
4,1,3,3,1,7,1,1,0,1,2,0,1,1,2,1,0,1,1,2,0,0,1,14,0
2,1,2,1,0,0,0,0,0,1,0,1,0,1,0,1,2,1,1,0,1,1,0,0,10
