103,51,24,13,10,5,8,1,4,4,6,3,3,2,5,2,3,3,2,2,2,2,4,0,2
51,73,11,8,11,1,7,0,3,0,4,1,1,2,3,0,0,3,2,4,2,2,2,0,2
24,11,39,1,3,2,1,1,1,1,1,3,0,1,2,1,0,2,1,0,0,0,1,0,0
13,8,1,23,5,0,5,1,0,1,3,2,0,2,1,1,0,0,1,0,1,1,0,0,0
10,11,3,5,21,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,0,0
5,1,2,0,0,15,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0
8,7,1,5,3,0,15,1,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
4,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,1,1,0,1,2,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,4,1,3,0,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3,1,3,2,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0
2,2,1,2,1,0,3,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
5,3,2,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0
3,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0
2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
2,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0
4,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0
2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
